dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,n_seeds
arrhythmia,qwen2.5-3b,prompted-fewshot,0.4395098925173679,0.018506917659610173,1.724743366090883,0.07262563142180355,0.710524938504213,0.02016475005933511,0.025252525252525252,0.03154039393130505,3
breastw,qwen2.5-3b,prompted-fewshot,0.9528072320492328,0.015805792240858263,1.8378415647476833,0.030487323108935885,0.9427544699511227,0.02911688338489237,0.5453277545327754,0.10217546949730748,3
cardio,qwen2.5-3b,prompted-fewshot,0.34026340688694884,0.18598263618232297,1.9410480711050944,1.0609464018582513,0.736042490118577,0.13448992263825618,0.02840909090909091,0.03936479108111085,3
ionosphere,qwen2.5-3b,prompted-fewshot,0.9301702370872386,0.027786086673341,1.7643705290781746,0.05270535488038496,0.9370464016481715,0.014030812044477719,0.2645502645502646,0.24233439607206056,3
shuttle,qwen2.5-3b,prompted-fewshot,0.9619888972495022,0.015514093782654712,7.207107933138967,0.1162297701107805,0.988938675763818,0.002822705818785822,0.9494920725339409,0.013508156393682648,3
speech,qwen2.5-3b,prompted-fewshot,0.03149140391461275,0.0011210442643081518,0.967457228458759,0.034439950021532426,0.4841053834028073,0.015495340480455654,0.0,0.0,3
vertebral,qwen2.5-3b,prompted-fewshot,0.22406035714024056,0.06718319031246556,1.0082716071310827,0.30232435640609506,0.46973544973544973,0.1109487854327305,0.011111111111111112,0.019245008972987525,3
yeast,qwen2.5-3b,prompted-fewshot,0.3766456641575921,0.1686300947270228,3.1321060493105026,1.4022923666773477,0.7992629054651016,0.10508747535278372,0.07719298245614035,0.06344961866675483,3
