dataset,model,mode,classical_auroc_mean,classical_auroc_std,k10pct_classical_recall_at_fpr_mean,k10pct_classical_recall_at_fpr_std,k10pct_llm_recall_at_fpr_mean,k10pct_llm_recall_at_fpr_std,k10pct_precision_at_k_mean,k10pct_precision_at_k_std,k10pct_recall_at_fpr_mean,k10pct_recall_at_fpr_std,k10pct_recall_at_k_mean,k10pct_recall_at_k_std,k10pct_uplift_recall_mean,k10pct_uplift_recall_std,k1pct_classical_recall_at_fpr_mean,k1pct_classical_recall_at_fpr_std,k1pct_llm_recall_at_fpr_mean,k1pct_llm_recall_at_fpr_std,k1pct_precision_at_k_mean,k1pct_precision_at_k_std,k1pct_recall_at_fpr_mean,k1pct_recall_at_fpr_std,k1pct_recall_at_k_mean,k1pct_recall_at_k_std,k1pct_uplift_recall_mean,k1pct_uplift_recall_std,k5pct_classical_recall_at_fpr_mean,k5pct_classical_recall_at_fpr_std,k5pct_llm_recall_at_fpr_mean,k5pct_llm_recall_at_fpr_std,k5pct_precision_at_k_mean,k5pct_precision_at_k_std,k5pct_recall_at_fpr_mean,k5pct_recall_at_fpr_std,k5pct_recall_at_k_mean,k5pct_recall_at_k_std,k5pct_uplift_recall_mean,k5pct_uplift_recall_std,llm_auprc_gain_mean,llm_auprc_gain_std,llm_auroc_mean,llm_auroc_std,n_seeds
creditcard-random,qwen2.5-3b,triage,0.9494779471544715,0.0021954532764295073,0.6029810298102981,0.028479470944422346,0.00948509485094851,0.0011734761568894824,0.04721145030401016,0.0019062465374529627,0.11382113821138211,0.01219512195121951,0.27100271002710025,0.008462056908398935,-0.489159891598916,0.016302451782541954,0.6029810298102981,0.028479470944422346,0.00948509485094851,0.0011734761568894824,0.16809418885126393,0.018936611835357813,0.6029810298102981,0.028479470944422346,0.06097560975609756,0.003520428470668449,0.0,0.0,0.6029810298102981,0.028479470944422346,0.00948509485094851,0.0011734761568894824,0.07648639766817567,0.009138143007876224,0.27303523035230354,0.020359050408288244,0.1924119241192412,0.015523630402966934,-0.32994579945799457,0.011909482270492487,1.7038125464795397,0.0073967349510466514,0.6938935467479674,0.0007357744053306418,3
creditcard-temporal,qwen2.5-3b,triage,0.9401931910569106,0.004557194425253596,0.5440379403794038,0.014981940641935,0.010840108401084009,0.0011734761568894835,0.04334144759835982,0.002559155232031909,0.08875338753387534,0.006533638726959992,0.2533875338753388,0.011909482270492506,-0.45528455284552843,0.013328127081914654,0.5440379403794038,0.014981940641935,0.010840108401084009,0.0011734761568894835,0.13047534872804104,0.03554118387877696,0.5440379403794038,0.014981940641935,0.052845528455284556,0.008130081300813009,0.0,0.0,0.5440379403794038,0.014981940641935,0.010840108401084009,0.0011734761568894835,0.06974129857431377,0.011440420839592678,0.24457994579945797,0.03688525091820107,0.1802168021680217,0.02035905040828823,-0.2994579945799458,0.023557369445411473,1.7112144762036376,0.06441022406241609,0.6884251693766937,0.0017643123805428072,3
unsw,qwen2.5-3b,triage,0.9605357133668652,0.0022988128187329247,0.16096823490001289,0.02405834631321519,0.1510356686122292,0.012895431936023511,0.29978638561105636,0.010184919285611476,0.07191602719502804,0.007437600606588959,0.09828809120372946,0.0015493621266163674,-0.08905220770498483,0.0167194029280087,0.16096823490001289,0.02405834631321519,0.1510356686122292,0.012895431936023511,0.5053786841638903,0.10358784542257993,0.16096823490001289,0.02405834631321519,0.01266744051004533,0.0010051563236094937,0.0,0.0,0.16096823490001289,0.02405834631321519,0.1510356686122292,0.012895431936023511,0.3220612681612341,0.022723468801466504,0.12918255445086418,0.014777101010928216,0.051095013417934376,0.0019352719422397375,-0.03178568044914869,0.011877362613323523,2.6019048134335514,0.05804603433985454,0.6801003512004132,0.0060686585925174945,3
