dataset,model,mode,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1fpr_mean,recall_at_1fpr_std,n_seeds
creditcard-random,ecod,classical,88.03996558452691,1.8153828911645857,0.9491089769647768,0.00019480608148823562,0.6795392953929539,0.0031047260805934012,3
creditcard-random,iforest,classical,66.149457141773,9.654399645633195,0.9511247628726364,0.0023979796990854754,0.5860433604336043,0.029407228203537486,3
creditcard-random,knn,classical,58.78175997508248,2.3447604290089905,0.945190362466133,0.0005001725236028544,0.714769647696477,0.015255190039563271,3
creditcard-random,pca,classical,76.03752671047022,1.6490424840527038,0.953968529810305,0.00042679982396179783,0.6314363143631437,0.004231028454199435,3
creditcard-temporal,ecod,classical,79.79583434328725,2.823387957918152,0.9384306910569175,0.0004407280605945542,0.6565040650406504,0.00537754331517193,3
creditcard-temporal,iforest,classical,53.72141334641784,1.9274106701319702,0.9381569613821222,0.0005042491247957404,0.5291327913279132,0.017757916561085593,3
creditcard-temporal,knn,classical,54.10571677769744,3.7942398645044464,0.9312625677506836,0.00054051339778342,0.7398373983739838,0.018292682926829285,3
creditcard-temporal,pca,classical,68.4712923922037,4.8091149514150064,0.9446278794038009,0.00042634924291456224,0.6273712737127372,0.0065336387269600334,3
