dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,recall_at_1pct_fpr_weighted_mean,recall_at_1pct_fpr_weighted_std,n_seeds
pima,qwen2.5-3b,arbitrary,0.4949177400140692,0.0127672545177719,0.9565947362958503,0.024677006866439713,0.44856716417910447,0.01477768723779251,0.0,0.0,,,3
pima,qwen2.5-3b,domain,0.4949177400140692,0.0127672545177719,0.9565947362958503,0.024677006866439713,0.44856716417910447,0.014777687237792547,0.0,0.0,,,3
pima,qwen2.5-3b,random:0,0.53597651193011,0.012019131572716737,1.035954601417153,0.023231008039803124,0.5259651741293533,0.008108329440256187,0.0024875621890547263,0.0021542920492150213,,,3
pima,qwen2.5-3b,random:1,0.5964725097766773,0.016766698952160836,1.1528834330758166,0.03240727633290785,0.5527412935323383,0.019939127307934876,0.01243781094527363,0.005699721013626666,,,3
unsw,qwen2.5-3b,arbitrary,0.3997033657840528,0.007132014442710004,2.6019048134335514,0.058046034339854606,0.6801003512004132,0.006068658592517515,0.1510356686122292,0.01289543193602352,0.1510356686122292,0.01289543193602352,3
unsw,qwen2.5-3b,domain,0.3466075311709027,0.0083025001648478,2.256298516474996,0.0632397728763025,0.554158020541257,0.005577817932699187,0.21042904675824914,0.008346594158507123,0.21042904675824914,0.008346594158507123,3
unsw,qwen2.5-3b,random:0,0.38331542646570455,0.012779273837708053,2.4953368454130143,0.09408118072075268,0.5736899613409683,0.010070222214714725,0.14802193203674227,0.019418828616317954,0.14802193203674227,0.019418828616317954,3
unsw,qwen2.5-3b,random:1,0.4323499797650068,0.011588232226651117,2.8144971312050138,0.08797425834006962,0.5330989586434551,0.009929703427466498,0.22582086768757148,0.011770070389654616,0.22582086768757148,0.011770070389654616,3
