dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,n_seeds
arrhythmia,qwen2.5-3b-instruct,likelihood,0.6050221429575495,,2.374253561000081,,0.8133144920709687,,0.06060606060606061,,1
breastw,qwen2.5-3b-instruct,likelihood,0.9795103046364788,,1.889348328190028,,0.9865995702815786,,0.3807531380753138,,1
cardio,qwen2.5-3b-instruct,likelihood,0.6639788396185887,,3.7876974714605853,,0.8252978151075977,,0.4431818181818182,,1
ionosphere,qwen2.5-3b-instruct,likelihood,0.9481389943060752,,1.7984541241202536,,0.9313105773282765,,0.6507936507936508,,1
shuttle,qwen2.5-3b-instruct,likelihood,0.9953470388776766,,7.45702321578992,,0.9994887800715023,,0.9906009683850755,,1
speech,qwen2.5-3b-instruct,likelihood,0.03692686802409666,,1.134441814379625,,0.45888528207029383,,0.01639344262295082,,1
vertebral,qwen2.5-3b-instruct,likelihood,0.2256555556953536,,1.0154500006290912,,0.40158730158730155,,0.03333333333333333,,1
yeast,qwen2.5-3b-instruct,likelihood,0.2877824870543922,,2.3931385765575772,,0.7392048466489965,,0.042105263157894736,,1
