dataset,model,mode,auprc_mean,auprc_std,auprc_gain_mean,auprc_gain_std,auroc_mean,auroc_std,recall_at_1pct_fpr_mean,recall_at_1pct_fpr_std,distinct_levels_mean,distinct_levels_std,n_seeds
mammography,smol-360,likelihood,0.35173498383888874,0.008158886197157343,7.7408752981773885,0.1795582570005167,0.8643070069196032,0.0010881566495431598,0.23076923076923075,0.007692307692307693,,,3
mammography,smol-360,prompted,0.07074528429106755,0.004442182194347063,1.5569404488980325,0.0977621789078996,0.5461000948276672,0.008717882312983656,0.032051282051282055,0.00888231183368655,2063.3333333333335,6.350852961085949,3
mulcross,qwen2.5-3b,likelihood,1.0,0.0,5.5000762951094835,0.0,1.0,0.0,1.0,0.0,,,3
mulcross,qwen2.5-3b,prompted,0.32680566485111995,0.00035127864894747535,1.7974560903551395,0.0019320593700541142,0.7405684353016518,0.00028151716747620663,0.0,0.0,96669.0,181.67828709011982,3
mulcross,smol-360,likelihood,0.9999511550929284,3.479089667658895e-05,5.499807644393962,0.00019135258609680018,0.9999920276520581,4.726829267700229e-06,1.0,0.0,,,3
mulcross,smol-360,prompted,0.46589314215526034,0.00020069052027800693,2.56244782722222,0.0011038131732341457,0.8337312300774774,0.00014199775868359993,0.019264515144579233,0.0,14239.666666666666,38.78573620976342,3
musk,qwen2.5-3b,likelihood,0.9999999999999999,0.0,16.288659793814432,0.0,1.0,0.0,1.0,0.0,,,3
musk,qwen2.5-3b,prompted,0.10394861524855843,0.004358808762776433,1.6931836298218796,0.07099915304316255,0.6364200920860242,0.004593140690408829,0.034364261168384876,0.00595206463082088,1572.3333333333333,0.5773502691896586,3
musk,smol-360,likelihood,0.9999999999999999,0.0,16.288659793814432,0.0,1.0,0.0,1.0,0.0,,,3
musk,smol-360,prompted,0.18959613544535445,0.010798941984030546,3.08826694849134,0.17590029211101288,0.7214756935996274,0.007970370665654283,0.08247422680412371,0.010309278350515469,694.6666666666666,13.650396819628853,3
optdigits,qwen2.5-3b,likelihood,0.234716250755263,0.015980970070346316,4.198291338509137,0.285846284658261,0.902149405623547,0.007694928645516181,0.02666666666666667,0.011547005383792516,,,3
optdigits,qwen2.5-3b,prompted,0.04645993552143188,0.0003458785554414188,0.8310133800266781,0.006186614428328869,0.45170548756415324,0.004375753830229766,0.0,0.0,2659.0,1.0,3
optdigits,smol-360,likelihood,0.22682527655213894,0.013399540285396493,4.057148113262592,0.2396731105714583,0.8916839935079177,0.004703660098639789,0.008888888888888889,0.010183501544346312,,,3
optdigits,smol-360,prompted,0.08399565018568532,0.005662393700743314,1.5024021963212915,0.10128134866062888,0.6039000745712154,0.004503697348133505,0.008888888888888889,0.010183501544346312,488.3333333333333,7.571877794400373,3
